event,begin,end
Champions_League,2017-06-28 20:45:00,2017-06-28 22:30:00
Champions_League,2017-07-04 18:00:00,2017-07-04 19:45:00
Champions_League,2017-07-04 18:00:00,2017-07-04 19:45:00
Champions_League,2017-07-04 19:30:00,2017-07-04 21:15:00
Champions_League,2017-07-04 20:30:00,2017-07-04 22:15:00
Champions_League,2017-07-04 20:30:00,2017-07-04 22:15:00
Champions_League,2017-07-11 19:00:00,2017-07-11 20:45:00
Champions_League,2017-07-11 20:30:00,2017-07-11 22:15:00
Champions_League,2017-07-11 20:45:00,2017-07-11 22:30:00
Champions_League,2017-07-11 20:45:00,2017-07-11 22:30:00
Champions_League,2017-07-12 18:00:00,2017-07-12 19:45:00
Champions_League,2017-07-12 19:00:00,2017-07-12 20:45:00
Champions_League,2017-07-12 19:00:00,2017-07-12 20:45:00
Champions_League,2017-07-12 19:00:00,2017-07-12 20:45:00
Champions_League,2017-07-12 19:00:00,2017-07-12 20:45:00
Champions_League,2017-07-12 19:00:00,2017-07-12 20:45:00
Champions_League,2017-07-12 19:30:00,2017-07-12 21:15:00
Champions_League,2017-07-12 20:00:00,2017-07-12 21:45:00
Champions_League,2017-07-12 20:00:00,2017-07-12 21:45:00
Champions_League,2017-07-12 20:15:00,2017-07-12 22:00:00
Champions_League,2017-07-12 20:45:00,2017-07-12 22:30:00
Champions_League,2017-07-12 21:15:00,2017-07-12 23:00:00
Champions_League,2017-07-14 18:00:00,2017-07-14 19:45:00
Champions_League,2017-07-18 16:00:00,2017-07-18 17:45:00
Champions_League,2017-07-18 18:00:00,2017-07-18 19:45:00
Champions_League,2017-07-18 18:00:00,2017-07-18 19:45:00
Champions_League,2017-07-18 19:00:00,2017-07-18 20:45:00
Champions_League,2017-07-18 20:00:00,2017-07-18 21:45:00
Champions_League,2017-07-18 20:00:00,2017-07-18 21:45:00
Champions_League,2017-07-18 20:45:00,2017-07-18 22:30:00
Champions_League,2017-07-19 18:00:00,2017-07-19 19:45:00
Champions_League,2017-07-19 19:15:00,2017-07-19 21:00:00
